つぶやきシロー	shiro_tsubuyaki	ホリプロ所属のつぶやきシローです。
ナイン・インチ・ネイルズ	nineinchnails	Preview the full 24 track Gone Girl soundtrack at http://t.co/mtBgm4JZEZAvailable now at http://t.co/gY9S1RwiBG
デュラン・デュラン	duranduran	Duran Duran's official Twitter.
アッシャー	UsherRaymondIV	@Usher @Usher @Usher @Usher
ライオネル・リッチー	LionelRichie	Lionel Richie in the UK & Europe in 2015! http://t.co/LZhJ4dtSuO
スモーキー・ロビンソン	smokey_robinson	Buy Smokey & FriendsAmazon: http://t.co/xxglBKGNvxiTunes: http://t.co/DNj0NfHyMW Google Play: http://t.co/VYANyAj9AM
ブライアン・アダムス	bryanadams	New song She Knows Me out now: http://t.co/gD1A76Vsk0 ...acoustic Bare Bones shows coming up in the US in Oct, Reckless 30th anniversary tour in Nov.
ブラック・アイド・ピーズ	bep	#LALOVE is available on iTunes now: http://t.co/0lvHZ3jX1Q
アラニス・モリセット	Alanis	singer/songwriter/activist/human
エリカ・バドゥ	fatbellybella	See me in a fight with a bear? ...Help the bear. Po honey on me.
ビリー・コーガン	billy	The official twitter account of WPC aka The Ivory Tower, proprietor of Madame Zuzu's Teahouse
ジェイソン・ムラーズ	jason_mraz	The Official Jason Mraz You Very Much Twitter Account. Follow @MrazTeam for the latest news. 'YES!' available now: http://t.co/yYA6qba8uv
デイヴ・ナヴァロ	davenavarro	Jane's Addiction, Royal Machines, Host of Inkmaster
アリシア・キーズ	aliciakeys	Passionate about my work, in love with my family and dedicated to spreading light. It's contagious!;-)http://t.co/QP5RXoYH12
スヌープ・ドッグ	snoopdogg	help these young athletes thrive n play safe! http://t.co/LanKx2FDbQ http://t.co/ORODmb0yhl
ジャスティン・ティンバーレイク	jtimberlake	Official Twitter Account of Justin Timberlake
シャキーラ	shakira	New album Shakira out now! / El nuevo álbum Shakira ya disponible en iTunes http://t.co/2hjhcJE9fk / CD http://t.co/HFzQPvOUyQ
ジェニファー・ハドソン	IAMJHUD	Jennifer Hudson is an Academy Award-winning actress and a Grammy Award-winning recording artist. Follow Jennifer on Instagram - http://t.co/qUiC4QRUni
クリス・ドートリー	CHRIS_Daughtry	Husband, Father, Singer/ Songwriter, Artist, Actor, Nerd, Semi-pro Dancer and Comic-Book enthusiast
シャキール・オニール	THE_REAL_SHAQ	
カリーム・アブドゥル＝ジャバー	kaj33	NBA's All-Time Leading ScorerNew York Times best-selling author
トニー・ホーク	tonyhawk	professional skateboarder, dad, videogame character, ceo, kid chauffeur, global hopscotcher, food glutton & public skatepark defender. I'm old; get over it.
ニック・スウィシャー	nickswisher	The official Twitter of Nick Swisher, Cleveland Indians
アーノルド・シュワルツェネッガー	Schwarzenegger	Former Mr. Olympia, Conan, Terminator, and Governor of California. I killed the Predator. I told you I'd be back.
ヒラリー・クリントン	HillaryClinton	Wife, mom, lawyer, women & kids advocate, FLOAR, FLOTUS, US Senator, SecState, author, dog owner, hair icon, pantsuit aficionado,  glass ceiling cracker, TBD...
ジョン・マケイン	SenJohnMcCain	U.S. Senator John McCain (R-AZ)
マーサ・スチュワート	MarthaStewart	curious,inquisitive,experimental entrepreneur who cares about the world we live in
高野寛	takano_hiroshi	musician
吉田照美	tim1134	あるときはフリーアナウンサー、またあるときは画家、その実態は・・・吉田照美です。
いとうまい子	maimai818	いとうまい子です。知らない事が多すぎて今日も勉強。基本はハッピーツイート♪時々、心の声が漏れることも。アイコンは2003年に保護した柴犬の夏ちゃん♡　
柚木涼香	yuzuruu	声優『たまごっち！』めめっち『NARUTO』いの『キルラキル』鬼龍院皐月『しずくちゃん』うるおいちゃん『俺ガイル』平塚静『トリニティセブン』不動アキオ『なのはA’s』シャマル『うたわれるもの』エルルゥ『武装錬金』津村斗貴子『月姫メルブラ』アルク『TOD2』リアラ
井上マー	inouemah	ハゲです。笑顔をたやさない偽善者です。
梶原しげる	shigerukajiwara	新刊！新潮新書第６弾「会話のきっかけ」http://t.co/zYdZDTvbwk／『会見観察人！梶原参上ブログ』http://t.co/yqhRxbIszu／ＹＢＳ月曜キックスhttp://t.co/RGQsOAfb0D
まつゆう*	matsuyou	media icon / W所属。98年よりWebで独自の可愛い情報を発信。YSL、ブシュロン、クロエ、シーバイクロエ、ソニアリキエル、ロンシャン、フルラ、ランコム等、海外から影響力のあるブロガーとしても数多くのメゾンやブランドをクライアントに持ち多方面で活躍中。連載「WWD Beauty」
後藤正文	gotch_akg	A member of ASIAN KUNG-FU GENERATIONTHE FUTURE TIMES 編集長
とり・みき	videobird	Manga-Ka/マンガ家です。http://t.co/lu5kR6iigd
大沢伸一	shinichiosawa	Music Producer / DJ
東京女子流	TokyoGirlsStyle	東京女子流オフィシャルTwitter。 ただいま7月〜11月 赤坂BLITZ公演 昼・夜公演開催中！ ★ファンクラブAstalight* http://t.co/pRdTdpYx9e @Miyu_TGSJP @Hitomi_TGSJP @Yuri_TGSJP @Mei_TGSJP
嘉門達夫	kamontatsuo	日常ブログ　http://t.co/leJsAehBex食ブログ　http://t.co/ID8GHX8RWh
倉田雅世	nejimakiya521	声優倉田雅世＝紙芝居師・プロデューサー倉嶋らむね。 #nejimakiya ＊ドラえもん/伊藤つばさ,ローゼンメイデン/柏葉巴,コードギアス/ラクシャータ,ガールズ＆パンツァー/五十鈴百合,ももがー,ファンタジスタドール/鵜野みこと＊仏ジャパンエキスポ/三越日本橋本店/帝国ホテル等で紙芝居口演＊声優＆紙芝居講師
笹本優子	sasayou	笹本優子と申します。ラーメン食べたり、カレーを食べたり、お酒を飲んだり、ヘヴィメタルを聞いたり、テクノを聞いたり、日ハムの試合を見たり、ラーメンズを愛したり、ホラー映画を見たり、舞台を観に行ったり、声優をしたりして生きています。ゆるく宜しくお願いいたします。
カンザキカナリ	canarism	提督兼プロデューサーで声優さん。ingressは青でエーカツ中。「あにラブ～女装美少年革命！～」樫木由希役、「超催眠術学園」東三国虎姫役、Android/iOS対応全年齢向けタップバトルRPG「マギアブレイク」など。お仕事依頼・オーディションお誘い、その他ご連絡はcanarism@gmail.comマデ。
新堂真弓	410www	2次元の中の人こと、新堂真弓です。声優とか作詞家、ボーカリスト、ゲームプロデューサなど、諸々やってます。ここでは私が好きな物やオススメしたい作品などについてガンガンRTもポストもします。それが宣伝やステマだと思う方はフォローをご遠慮くださいね！
仙台エリ	e_ringo	【アミュレート】所属声優の仙台エリです！主な出演作品は『Yes！プリキュア５』ミルキィローズ、『ガールズ&パンツァー』カエサル、『中二病でも恋がしたい！』小鳥遊十花、『マジンボーン』島谷早穂、『レディ・ジュエルペット』レディみずき、『仙台エリのナチュラルパンケーキ』文化放送A&G＋にて放送中！(*゜▽゜)ノ
園崎未恵	Sonozaki_mie	声優、ﾅﾚ-ﾀ-、俳優、歌い手、園崎未恵の他愛の無い日常と日々の機微。生トマトは天敵で甲殻類はアレルギー。気弱で気ままなカエルが本体。リプライ気まぐれ、つぶやき多め、フォローRTはご自由に。@は基本友人宛です。転載だけは勘弁な！お仕事情報は@snzk00A1 http://t.co/286sHxF6qI
民安ともえ	tammy_now	こんにちは、民安ともえです。声優稼業を営んでおります。10月よりアニメ「グリザイアの果実」入巣蒔菜役「失われた未来を求めて」華宮凪沙役。よろしくお願い申し上げます！
古原奈々	furunana	声優だったり。ナレーターだったり。歌手だったり。ラジオやってたり。秘密基地所長だったり。　予測できない生き様が好き。　特技：妄想。　趣味：学生プロレス観戦。　お気に入りレスラー：ブランコ・オギーソさま(^▽^)ﾉ　資格：パーソナルカラリスト　ツイートに対して返信を頂いた場合、お返しフォローさせていただくことがあります。
ささきのぞみ	nozooooo	声優やナレーターなど声のお仕事をしております。みてくださるあなたに、心から感謝！blogもよろしくお願いします☆
あきやまかおる	hakokao	ぷろだくしょんバオバブ／舞台俳優・声優・ナレーター。’0４利賀演出家コンクール最優秀賞「授業」出演。多摩グラ卒。グラフィックデザイナー: @hakofac 歌の活動: @mishaoru / @jp_RGB 好き:プロレス/建築物/こども/演劇
小菅真美	KosugeMami	小菅真美です。主に声優やってます。↓Flickrも見てね。http://t.co/ShpxTXTRCF…↓ザ・インタビューズも登録したよ。http://t.co/R5KDGkkoSe
岩上安身	iwakamiyasumi	ジャーナリスト、IWJ代表。財政危機の折、みなさん定額会員になってください！ http://t.co/fbbEnPBJiv 岩上安身よりみなさまへ→ http://t.co/3wSMpdUSlk http://t.co/JmI0xW5g90 事務的なお問い合わせはこちらへ： http://t.co/km4or391U4
有田芳生	aritayoshifu	参議院議員・ジャーナリスト。アイコンはナンシー関さん、佐藤秀峰さん、弘兼憲史さん、安西水丸さんと適宜変わります。いまは安西さんです。「つぶやき」は森羅万象。政治的主張の空間とは考えていません。何でも書きます。他者罵倒の礼儀知らずやあてこすり匿名常習者には読んでいただく必要ありません。ブロックが基本原則。
ジャッキー・チェン	EyeOfJackieChan	Follow my adventures!
ダライ・ラマ14世	DalaiLama	Welcome to the official twitter page of the Office of His Holiness the 14th Dalai Lama.
飯塚悟志	iizuka03	東京03第16回単独公演「あるがままの君でいないで」DVD12月24日発売予定！「ウレロ☆未体験少女」DVD&Blu-ray発売中！舞台「ウレロ☆未解決少女」2015年1月末決定！
May J.	MayJamileh	1988年6月20日生まれ、双子座のO型。 座右の銘は「日進月歩」。 7月23日にカヴァーアルバム「Heartful Song Covers-Deluxe Edition-」をリリースしました♡
MINMI	minmidesu	minmiです。 OFFICIAL HP http://t.co/nn8CQNaV65OFFICIAL BLOG http://t.co/cmlTNqJS77FREEDOM aozora 2014 http://t.co/nH1tYwQiP7
新城カズマ	SinjowKazma	writer of (SFFTMysteryLightNovelHistorical), conlanger, flaneur, speculator of civilizations
野尻抱介	nojiri_h	SF作家 野尻抱介 ニコニコ動画では「尻P」、ボカロと技術部がメイン。JQ2OYC、3アマ。1961年生まれ。メール:nojiri(あっと)http://t.co/WYoB7CKNWj ブロマガ: http://t.co/8KbkkXyrwE はてダ:http://t.co/LbwqLZv3gN
さそうあきら	akirasaso	放浪しながら漫画を描いてます。mainly I  deal with classical music as manga material.
増田忠俊	Masunald	サッカー関連のお仕事。生涯サッカー人【にく壱】オーナーでもあるんです@nikuichi
島田雅彦	SdaMhiko	小説書きです。家はバリアだらけです。徘徊癖あり。
高橋源一郎	takagengen	「還暦からの電脳事始」という新刊が出ました。中身はタイトル通りです。電脳初心者が、どんな風に、電脳世界に入り……損ね、どうやっておずおずと使えるになっていったのか。涙無しには読めない本ではないかと思いますが、どうでしょう。
初鹿明博	AkiHatsushika	衆議院解散の日に15年間所属してきた民主党に離党届を提出し、除籍処分を受けました。新自由主義の流れに決別し、原発ゼロ、反ＴＰＰ、消費増税凍結、オスプレイ配備反対、反貧困の政治勢力の再結集を目指すべく、行動しています。先の衆議院選挙に日本未来の党で２期目の挑戦をしましたが、落選。捲土重来を期して頑張ってます！
